년,월,순위,외지인 검색 수,분류,관광지명,주소
2018,3,60,4067,데이트코스,도두동무지개해안도로,제주 제주시
2018,3,61,4018,자연경관(산),금오름,제주 제주시
2018,3,62,3985,호텔,라마다프라자제주호텔,제주 제주시 탑동로 66-0
2018,3,63,3947,자연경관(산),새별오름,제주 제주시
2018,3,64,3890,자연경관(산),천제연폭포,제주 서귀포시 천제연로 132-0
2018,3,65,3758,호텔,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0
2018,3,66,3609,콘도미니엄,이랜드파크켄싱턴리조트서귀포점,제주 서귀포시 이어도로 684-0
2018,3,67,3599,시장,수목원길야시장,제주 제주시
2018,3,68,3568,면세점,제주관광공사면세점,제주 서귀포시 중문관광로 224-0
2018,3,69,3499,호텔,신라스테이제주,제주 제주시 노연로 100-0
2018,3,70,3473,호텔,호텔더본제주,제주 서귀포시 색달로 18-0
2018,3,71,3472,호텔,코업시티호텔하버뷰,제주 서귀포시 태위로 108-0
2018,3,72,3411,전시시설,제주항공우주박물관,제주 서귀포시 녹차분재로 218-0
2018,3,73,3394,테마공원,카멜리아힐,제주 서귀포시 병악로 166-0
2018,3,74,3373,자연경관(산),돈내코계곡,제주 서귀포시 돈내코로 137-0
2018,3,75,3338,기타레저스포츠,비밀의숲,제주 제주시
2018,3,76,3304,호텔,롯데시티호텔제주,제주 제주시 도령로 83-0
2018,3,77,3289,자연경관(산),원앙폭포,제주 서귀포시
2018,3,78,3137,기타레저스포츠,한담해안산책로,제주 제주시 애월로 0-0
2018,3,79,3078,호텔,호텔휘슬락,제주 제주시 서부두2길 26-0
2018,3,80,3048,자연경관(산),용눈이오름,제주 제주시
2018,3,81,3041,호텔,호텔리젠트마린,제주 제주시 서부두2길 20-0
2018,3,82,3039,콘도미니엄,더큐브리조트제주,제주 서귀포시 솔오름로105번길 24-0
2018,3,83,3007,호텔,라마다제주시티홀호텔,제주 제주시 중앙로 304-0
2018,3,84,2911,복합관광시설,중문관광단지,제주 서귀포시
2018,3,85,2899,호텔,서귀포칼호텔,제주 서귀포시 칠십리로 242-0
2018,3,86,2821,호텔,베스트웨스턴제주호텔,제주 제주시 도령로 27-0
2018,3,87,2812,테마공원,뽀로로&타요테마파크제주,제주 서귀포시 병악로 269-0
2018,3,88,2772,자연경관(산),산방산,제주 서귀포시 산방로 218-10
2018,3,89,2760,자연경관(산),도두봉,제주 제주시 서해안로 0-0
2018,3,90,2719,전시시설,테디베어뮤지엄제주,제주 서귀포시 중문관광로110번길 31-0
2018,3,91,2663,호텔,제주오션팰리스호텔,제주 서귀포시 중앙로 14-0
2018,3,92,2640,호텔,더베스트제주성산,제주 서귀포시 동류암로 26-0
2018,3,93,2593,호텔,코델리아S호텔,제주 서귀포시 일주동로 4186-0
2018,3,94,2586,대형마트,홈플러스서귀포점,제주 서귀포시 중앙로 180-0
2018,3,95,2465,기타관광,신비의도로,제주 제주시 1100로 2894-63
2018,3,96,2410,자연경관(하천/해양),삼양해수욕장,제주 제주시
2018,3,97,2383,대형마트,롯데마트제주점,제주 제주시 연북로 1-0
2018,3,98,2342,호텔,아트스테이서귀포하버,제주 서귀포시 태평로 436-0
2018,3,99,2319,자연경관(하천/해양),모슬포항,제주 서귀포시 하모항구로 30-0
2018,3,100,2279,호텔,골든데이지호텔제주서귀포오션,제주 서귀포시 동홍로 7-0
2018,4,1,25261,교통시설,제주국제공항,제주 제주시 공항로 2-0
2018,4,2,15258,시장,동문재래시장,제주 제주시 관덕로14길 20-0
2018,4,3,13809,시장,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0
2018,4,4,10664,자연경관(하천/해양),협재해수욕장,제주 제주시
2018,4,5,10284,자연경관(산),성산일출봉,제주 서귀포시 일출로 284-12
2018,4,6,8070,전시시설,오설록티뮤지엄,제주 서귀포시 신화역사로 15-0
