TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
자유이용권(그시절 추억의 테마공원 선녀와나무꾼),동부권,제주특별자치도 제주시 조천읍 선교로 267 그시절 추억의 테마공원 선녀와나무꾼,0,0,,,,3,,,2021-05-04 오후 9:35:00,2,1,0,2021-05-07 오후 1:03:09,빌링(LG),28800
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 12:58:00,1,0,0,2021-05-07 오후 1:12:58,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 12:57:00,1,0,0,2021-05-07 오후 1:13:12,채널결제,6500
제주센트럴파크+세그웨이고카트,동부권,제주특별자치도 제주시 조천읍 비자림로 606 ㈜제주미니미니랜드,0,0,테마파크/레저/체험/액티비티,,,3,,,2021-05-07 오전 11:53:00,0,2,0,2021-05-07 오후 1:35:23,카드,25000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 9:16:00,1,0,0,2021-05-07 오후 1:36:38,채널결제,6500
제주센트럴파크 입장권,동부권,제주특별자치도 제주시 조천읍 비자림로 606 ㈜제주미니미니랜드,0,0,테마파크,,,3,,,2021-05-07 오후 1:36:00,1,0,0,2021-05-07 오후 1:42:50,카드,5500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 12:16:00,1,0,0,2021-05-07 오후 1:44:30,채널결제,6500
자유이용권(초콜릿뮤지움),서부권,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144 초콜릿뮤지움,0,0,,,,3,,,2021-05-07 오전 11:51:00,2,2,0,2021-05-07 오후 1:45:06,빌링(LG),58000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 11:57:00,1,0,0,2021-05-07 오후 1:45:30,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-06 오후 11:12:00,1,0,0,2021-05-07 오후 1:46:29,채널결제,6500
자유이용권(그리스신화/트릭아이 박물관),서부권,제주특별자치도 제주시 한림읍 광산로 942 그리스신화박물관 제주뮤지엄컴플렉스㈜,0,0,,,,3,,,2021-05-05 오후 7:40:00,2,0,0,2021-05-07 오후 2:12:19,빌링(LG),13000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-06 오후 7:27:00,1,0,0,2021-05-07 오후 2:14:50,채널결제,6500
자유이용권(휴애리㈜),동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,,,,3,,,2021-05-05 오후 5:55:00,4,0,0,2021-05-07 오후 2:26:14,빌링(LG),92400
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 3:12:00,1,0,0,2021-05-07 오후 2:28:08,채널결제,6500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 2:17:00,2,0,0,2021-05-07 오후 2:32:15,채널결제,13000
자유이용권(허브동산),동부권,제주특별자치도 서귀포시 표선면 돈오름로 170 허브동산,0,0,,,,3,,,2021-05-05 오후 1:48:00,2,2,0,2021-05-07 오후 2:33:47,빌링(LG),27800
서귀포잠수함,중문/서귀포,제주특별자치도 서귀포시 남성중로 40 대국해저관광(주)(서귀포잠수함),0,0,잠수함/유람선/제트보트,,,3,,,2021-05-06 오후 9:35:00,2,0,0,2021-05-07 오후 2:43:19,채널결제,96000
카멜리아힐,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 1:06:00,4,0,0,2021-05-07 오후 3:13:58,카드,36000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 10:08:00,1,0,0,2021-05-07 오후 3:35:48,채널결제,6500
방림원,서부권,제주특별자치도 제주시 한경면 용금로 864 방림원,0,0,테마파크,,,3,,,2021-05-07 오후 2:44:00,2,0,0,2021-05-07 오후 3:41:07,채널결제,10000
자유이용권(탐라승마장),동부권,제주특별자치도 제주시 조천읍 교래리 42-3 탐라승마,0,0,,,,3,,,2021-05-01 오후 12:55:00,2,2,0,2021-05-07 오후 4:09:28,빌링(LG),60000
휴애리 자연생활공원,동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,테마파크,,,3,,,2021-05-07 오후 12:07:00,2,2,0,2021-05-07 오후 4:10:14,채널결제,41400
서귀포잠수함,중문/서귀포,제주특별자치도 서귀포시 남성중로 40 대국해저관광(주)(서귀포잠수함),0,0,잠수함/유람선/제트보트,,,3,,,2021-05-07 오전 9:39:00,2,2,0,2021-05-07 오후 4:13:52,채널결제,162000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-06 오전 7:51:00,1,0,0,2021-05-07 오후 4:21:21,채널결제,6500
자유이용권(제주공룡랜드),제주시내권,제주특별자치도 제주시 애월읍 광령평화2길 1 제주공룡랜드,0,0,,,,3,,,2021-04-29 오전 10:35:00,2,1,0,2021-05-07 오후 4:28:07,빌링(LG),65600
생각하는정원,서부권,제주특별자치도 제주시 한경면 녹차분재로 675 생각하는정원,0,0,테마파크,,,3,,,2021-05-07 오후 3:41:00,2,0,0,2021-05-07 오후 4:30:28,채널결제,22000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오전 10:36:00,2,0,0,2021-05-07 오후 4:34:13,채널결제,13000
자유이용권(소인국테마파크),서부권,제주특별자치도 서귀포시 안덕면 중산간서로 1878 소인국테마파크,0,0,,,,3,,,2021-04-04 오후 11:18:00,2,2,0,2021-05-07 오후 4:53:54,빌링(LG),22000
여미지식물원 입장권,중문/서귀포,제주특별자치도 서귀포시 중문관광로 93 부국개발㈜ 여미지식물원,0,0,테마파크,,,3,,,2021-05-07 오후 1:11:00,2,0,0,2021-05-07 오후 4:56:45,카드,31450
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-05 오후 2:47:00,1,0,0,2021-05-07 오후 4:56:59,채널결제,6500
자유이용권(다이나믹메이즈에피소드3),동부권,제주특별자치도 서귀포시 표선면 번영로 2644 다이나믹메이즈에피소드,0,0,,,,3,,,2021-05-02 오후 4:30:00,1,2,0,2021-05-07 오후 5:01:25,빌링(LG),194900
자유이용권(그시절 추억의 테마공원 선녀와나무꾼),동부권,제주특별자치도 제주시 조천읍 선교로 267 그시절 추억의 테마공원 선녀와나무꾼,0,0,,,,3,,,2021-04-26 오후 11:21:00,4,1,0,2021-05-07 오후 5:03:08,빌링(LG),58400
JSR제주실탄사격장-실탄사격 이용권,중문/서귀포,제주특별자치도 서귀포시 소보리당로164번길 61 JSR제주실탄사격,0,0,레저/체험/액티비티,,,3,,,2021-05-07 오후 5:04:00,4,0,0,2021-05-07 오후 5:12:28,카드,100000
자유이용권(힐링카약 비체올린),서부권,제주특별자치도 제주시 한경면 판조로 253-6 힐링카약 비체,0,0,,,,3,,,2021-05-05 오후 5:32:00,2,1,0,2021-05-07 오후 5:33:30,빌링(LG),257800
자유이용권((주)제주불빛정원),제주시내권,제주특별자치도 제주시 애월읍 평화로 2346 (주)제주불빛정원,0,0,,,,3,,,2021-05-07 오후 4:14:00,2,0,0,2021-05-07 오후 5:58:09,빌링(LG),19400
