년월,읍면동명,업종명,이용금액
2017-01,이도이동,빵 및 과자류 소매업,129039350
2017-01,이도이동,서양식 음식점업,212507180
2017-01,이도이동,일식 음식점업,211305750
2017-01,이도이동,중식 음식점업,64002000
2017-01,이도이동,한식 음식점업,2596714143
2017-01,이도일동,기타 외국식 음식점업,8067100
2017-01,이도일동,비알콜 음료점업,6461420
2017-01,이도일동,빵 및 과자류 소매업,51055250
2017-01,이도일동,서양식 음식점업,22969600
2017-01,이도일동,일식 음식점업,31354000
2017-01,이도일동,중식 음식점업,13106500
2017-01,이도일동,한식 음식점업,351459842
2017-01,이호이동,기타 외국식 음식점업,2473500
2017-01,이호이동,비알콜 음료점업,2662290
2017-01,이호이동,빵 및 과자류 소매업,4540080
2017-01,이호이동,서양식 음식점업,0
2017-01,이호이동,일식 음식점업,2090000
2017-01,이호이동,중식 음식점업,16460000
2017-01,이호이동,한식 음식점업,65816800
2017-01,이호일동,기타 외국식 음식점업,0
2017-01,이호일동,비알콜 음료점업,0
2017-01,이호일동,빵 및 과자류 소매업,421000
2017-01,이호일동,서양식 음식점업,5003000
2017-01,이호일동,일식 음식점업,0
2017-01,이호일동,중식 음식점업,0
2017-01,이호일동,한식 음식점업,42262781
2017-01,일도이동,기타 외국식 음식점업,52285414
2017-01,일도이동,비알콜 음료점업,18410710
2017-01,일도이동,빵 및 과자류 소매업,127393770
2017-01,일도이동,서양식 음식점업,22508100
2017-01,일도이동,일식 음식점업,102440200
2017-01,일도이동,중식 음식점업,20860000
2017-01,일도이동,한식 음식점업,1145921310
2017-01,일도일동,기타 외국식 음식점업,11514500
2017-01,일도일동,비알콜 음료점업,14139850
2017-01,일도일동,빵 및 과자류 소매업,22555000
2017-01,일도일동,서양식 음식점업,21355720
2017-01,일도일동,일식 음식점업,30502000
2017-01,일도일동,중식 음식점업,13371000
2017-01,일도일동,한식 음식점업,241636179
2017-01,조천읍,기타 외국식 음식점업,7917000
2017-01,조천읍,비알콜 음료점업,20118260
2017-01,조천읍,빵 및 과자류 소매업,40369582
2017-01,조천읍,서양식 음식점업,44334330
2017-01,조천읍,일식 음식점업,73163700
2017-01,조천읍,중식 음식점업,30142930
2017-01,조천읍,한식 음식점업,997029355
2017-01,중문동,기타 외국식 음식점업,9438000
2017-01,중문동,비알콜 음료점업,2230820
2017-01,중문동,빵 및 과자류 소매업,51148800
2017-01,중문동,서양식 음식점업,32062020
2017-01,중문동,일식 음식점업,32680600
2017-01,중문동,중식 음식점업,19861500
2017-01,중문동,한식 음식점업,633766155
2017-01,추자면,기타 외국식 음식점업,0
2017-01,추자면,비알콜 음료점업,0
2017-01,추자면,빵 및 과자류 소매업,0
2017-01,추자면,서양식 음식점업,0
2017-01,추자면,일식 음식점업,0
2017-01,추자면,중식 음식점업,1406000
2017-01,추자면,한식 음식점업,26629500
2017-01,토평동,기타 외국식 음식점업,0
2017-01,토평동,비알콜 음료점업,0
2017-01,토평동,빵 및 과자류 소매업,0
2017-01,토평동,서양식 음식점업,5341550
2017-01,토평동,일식 음식점업,0
2017-01,토평동,중식 음식점업,25301000
2017-01,토평동,한식 음식점업,250909230
2017-01,표선면,기타 외국식 음식점업,2010000
2017-01,표선면,비알콜 음료점업,13144930
2017-01,표선면,빵 및 과자류 소매업,15850250
2017-01,표선면,서양식 음식점업,15959420
2017-01,표선면,일식 음식점업,126114119
2017-01,표선면,중식 음식점업,15463000
2017-01,표선면,한식 음식점업,638945416
2017-01,하예동,기타 외국식 음식점업,0
2017-01,하예동,비알콜 음료점업,3836800
2017-01,하예동,빵 및 과자류 소매업,0
2017-01,하예동,서양식 음식점업,9421935
2017-01,하예동,일식 음식점업,6713000
2017-01,하예동,중식 음식점업,5455000
2017-01,하예동,한식 음식점업,32274500
2017-01,하원동,기타 외국식 음식점업,0
2017-01,하원동,비알콜 음료점업,0
2017-01,하원동,빵 및 과자류 소매업,0
2017-01,하원동,서양식 음식점업,0
2017-01,하원동,일식 음식점업,0
2017-01,하원동,중식 음식점업,0
2017-01,하원동,한식 음식점업,56719900
2017-01,하효동,기타 외국식 음식점업,0
2017-01,하효동,비알콜 음료점업,6170700
2017-01,하효동,빵 및 과자류 소매업,7945100
2017-01,하효동,서양식 음식점업,30791850
2017-01,하효동,일식 음식점업,2592000
2017-01,하효동,중식 음식점업,23061500
2017-01,하효동,한식 음식점업,80189031
2017-01,한경면,기타 외국식 음식점업,0
2017-01,한경면,비알콜 음료점업,2616100
2017-01,한경면,빵 및 과자류 소매업,540480
2017-01,한경면,서양식 음식점업,15213200
2017-01,한경면,일식 음식점업,1876500
2017-01,한경면,중식 음식점업,14851500
2017-01,한경면,한식 음식점업,230731100
2017-01,한림읍,기타 외국식 음식점업,14034197
2017-01,한림읍,비알콜 음료점업,22326660
2017-01,한림읍,빵 및 과자류 소매업,34829620
2017-01,한림읍,서양식 음식점업,97218010
2017-01,한림읍,일식 음식점업,68619000
2017-01,한림읍,중식 음식점업,54268450
2017-01,한림읍,한식 음식점업,823169586
2017-01,해안동,기타 외국식 음식점업,0
2017-01,해안동,비알콜 음료점업,0
2017-01,해안동,빵 및 과자류 소매업,721500
2017-01,해안동,서양식 음식점업,0
2017-01,해안동,일식 음식점업,0
2017-01,해안동,중식 음식점업,0
2017-01,해안동,한식 음식점업,44251000
2017-01,호근동,기타 외국식 음식점업,0
2017-01,호근동,비알콜 음료점업,3000
2017-01,호근동,빵 및 과자류 소매업,0
2017-01,호근동,서양식 음식점업,6439500
2017-01,호근동,일식 음식점업,0
2017-01,호근동,중식 음식점업,0
2017-01,호근동,한식 음식점업,51570014
2017-01,화북이동,기타 외국식 음식점업,0
2017-01,화북이동,비알콜 음료점업,12000
2017-01,화북이동,빵 및 과자류 소매업,2079600
2017-01,화북이동,서양식 음식점업,0
2017-01,화북이동,일식 음식점업,0
2017-01,화북이동,중식 음식점업,2063000
2017-01,화북이동,한식 음식점업,80966300
2017-01,화북일동,기타 외국식 음식점업,44304048
2017-01,화북일동,비알콜 음료점업,3808000
2017-01,화북일동,빵 및 과자류 소매업,63291689
2017-01,화북일동,서양식 음식점업,10532900
2017-01,화북일동,일식 음식점업,12840000
2017-01,화북일동,중식 음식점업,14605000
2017-01,화북일동,한식 음식점업,533967752
2017-01,회수동,기타 외국식 음식점업,0
2017-01,회수동,비알콜 음료점업,0
2017-01,회수동,빵 및 과자류 소매업,0
2017-01,회수동,서양식 음식점업,0
2017-01,회수동,일식 음식점업,0
2017-01,회수동,중식 음식점업,0
2017-01,회수동,한식 음식점업,56734500
2017-01,회천동,기타 외국식 음식점업,0
2017-01,회천동,비알콜 음료점업,0
2017-01,회천동,빵 및 과자류 소매업,0
2017-01,회천동,서양식 음식점업,1795000
2017-01,회천동,일식 음식점업,0
2017-01,회천동,중식 음식점업,0
2017-01,회천동,한식 음식점업,0
2017-02,강정동,기타 외국식 음식점업,7583500
2017-02,강정동,비알콜 음료점업,1822500
2017-02,강정동,빵 및 과자류 소매업,32261720
2017-02,강정동,서양식 음식점업,40895100
2017-02,강정동,일식 음식점업,21350000
2017-02,강정동,중식 음식점업,6790610
2017-02,강정동,한식 음식점업,308199250
2017-02,건입동,기타 외국식 음식점업,6560640
2017-02,건입동,비알콜 음료점업,4926400
2017-02,건입동,빵 및 과자류 소매업,4065400
2017-02,건입동,서양식 음식점업,83071710
2017-02,건입동,일식 음식점업,100205384
2017-02,건입동,중식 음식점업,7309000
2017-02,건입동,한식 음식점업,500966056
2017-02,구좌읍,기타 외국식 음식점업,579000
2017-02,구좌읍,비알콜 음료점업,26527300
2017-02,구좌읍,빵 및 과자류 소매업,3272000
2017-02,구좌읍,서양식 음식점업,90309880
2017-02,구좌읍,일식 음식점업,38162000
2017-02,구좌읍,중식 음식점업,12689000
2017-02,구좌읍,한식 음식점업,600634283
2017-02,남원읍,기타 외국식 음식점업,2678000
2017-02,남원읍,비알콜 음료점업,5212500
2017-02,남원읍,빵 및 과자류 소매업,14003540
2017-02,남원읍,서양식 음식점업,25746400
2017-02,남원읍,일식 음식점업,58323500
2017-02,남원읍,중식 음식점업,7046000
2017-02,남원읍,한식 음식점업,407430704
2017-02,내도동,기타 외국식 음식점업,0
2017-02,내도동,비알콜 음료점업,2311400
2017-02,내도동,빵 및 과자류 소매업,4393900
2017-02,내도동,서양식 음식점업,1693350
2017-02,내도동,일식 음식점업,0
2017-02,내도동,중식 음식점업,2591000
2017-02,내도동,한식 음식점업,14532779
2017-02,노형동,기타 외국식 음식점업,111684700
2017-02,노형동,비알콜 음료점업,106066230
2017-02,노형동,빵 및 과자류 소매업,181884650
2017-02,노형동,서양식 음식점업,275792408
2017-02,노형동,일식 음식점업,281316400
2017-02,노형동,중식 음식점업,137538524
2017-02,노형동,한식 음식점업,3286361010
2017-02,대정읍,기타 외국식 음식점업,1778000
2017-02,대정읍,비알콜 음료점업,23890170
2017-02,대정읍,빵 및 과자류 소매업,51064335
2017-02,대정읍,서양식 음식점업,45623350
2017-02,대정읍,일식 음식점업,77391500
