연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201807,한식 음식점업,내국인,여성,138778,145415,5436001785
201807,한식 음식점업,중국,알수없음,425,438,31364300
201808,관광 민예품 및 선물용품 소매업,내국인,남성,11194,12178,348581520
201808,관광 민예품 및 선물용품 소매업,내국인,알수없음,15,16,809600
201808,관광 민예품 및 선물용품 소매업,내국인,여성,13395,14668,404252820
201808,관광 민예품 및 선물용품 소매업,중국,알수없음,39,40,5768720
201808,그외 기타 분류안된 오락관련 서비스업,내국인,남성,68,73,3588500
201808,그외 기타 분류안된 오락관련 서비스업,내국인,여성,66,81,2459500
201808,기타 수상오락 서비스업,내국인,남성,32,34,5660500
201808,기타 수상오락 서비스업,내국인,여성,15,16,1065400
201808,기타 외국식 음식점업,내국인,남성,3416,3544,112417935
201808,기타 외국식 음식점업,내국인,알수없음,5,5,193500
201808,기타 외국식 음식점업,내국인,여성,1945,1987,66678970
201808,비알콜 음료점업,내국인,남성,31116,33317,349892550
201808,비알콜 음료점업,내국인,알수없음,53,57,462700
201808,비알콜 음료점업,내국인,여성,31940,34379,360013681
201808,비알콜 음료점업,중국,알수없음,9,9,73500
201808,빵 및 과자류 소매업,내국인,남성,20174,21790,291071721
201808,빵 및 과자류 소매업,내국인,알수없음,53,60,501650
201808,빵 및 과자류 소매업,내국인,여성,22898,24915,330687209
201808,빵 및 과자류 소매업,중국,알수없음,15,16,202400
201808,서양식 음식점업,내국인,남성,45812,50081,1124239714
201808,서양식 음식점업,내국인,알수없음,59,62,1301350
201808,서양식 음식점업,내국인,여성,50561,55297,1139156409
201808,서양식 음식점업,중국,알수없음,71,72,3252400
201808,스포츠 및 레크레이션 용품 임대업,내국인,남성,5687,6325,333654625
201808,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,12,12,392400
201808,스포츠 및 레크레이션 용품 임대업,내국인,여성,3343,3849,226749790
201808,스포츠 및 레크레이션 용품 임대업,중국,알수없음,231,267,32764500
201808,일식 음식점업,내국인,남성,12910,13129,949482720
201808,일식 음식점업,내국인,알수없음,15,15,680000
201808,일식 음식점업,내국인,여성,9327,9486,605385040
201808,일식 음식점업,중국,알수없음,10,10,780500
201808,중식 음식점업,내국인,남성,8989,9263,261405421
201808,중식 음식점업,내국인,알수없음,15,15,692200
201808,중식 음식점업,내국인,여성,4447,4548,133789370
201808,중식 음식점업,중국,알수없음,10,10,239000
201808,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,26360,28361,350820940
201808,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,74,77,837000
201808,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,20918,22601,282263550
201808,"피자, 햄버거, 샌드위치 및 유사 음식점업",중국,알수없음,2,2,33900
201808,한식 음식점업,내국인,남성,211759,221682,9065665548
201808,한식 음식점업,내국인,알수없음,256,266,10138400
201808,한식 음식점업,내국인,여성,153499,160624,6171592750
201808,한식 음식점업,중국,알수없음,554,582,37092030
201809,관광 민예품 및 선물용품 소매업,내국인,남성,8813,9626,300507480
201809,관광 민예품 및 선물용품 소매업,내국인,알수없음,13,14,350900
201809,관광 민예품 및 선물용품 소매업,내국인,여성,10408,11356,336797900
201809,관광 민예품 및 선물용품 소매업,중국,알수없음,18,20,2940500
201809,그외 기타 분류안된 오락관련 서비스업,내국인,남성,37,37,2160000
201809,그외 기타 분류안된 오락관련 서비스업,내국인,여성,31,32,2073000
201809,기타 수상오락 서비스업,내국인,남성,27,29,2866000
201809,기타 수상오락 서비스업,내국인,여성,12,12,2771000
201809,기타 외국식 음식점업,내국인,남성,3127,3232,108230070
201809,기타 외국식 음식점업,내국인,알수없음,13,14,581000
201809,기타 외국식 음식점업,내국인,여성,1789,1822,61853766
