사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,부대시설내역,데이터갱신일자
펠리스타운,관광사업자,관광숙박업,20121019,,영업/정상,,,,,983.04,제주특별자치도 서귀포시 성산읍 시흥리 12 - 98,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 23,,,2019-06-15 02:21:11
베스트국제여행사(주),관광사업자,여행업,20160328,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 253 - 5 1006호,"제주특별자치도 제주시 노연로 62, 1006호 (연동,신성오피스텔)",,,2019-06-15 02:21:11
(주)한화관광,관광사업자,여행업,20160415,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 2324 - 5 614호,"제주특별자치도 제주시 도령로 87, 614호 (연동,제주현대오피스텔)",,,2019-06-15 02:21:11
(주)코리아이엔티,관광사업자,여행업,20160418,,영업/정상,,,,,0.0,제주특별자치도 제주시 외도일동 450 - 11,제주특별자치도 제주시 절물2길 22 (외도일동),,,2019-06-15 02:21:11
(주)퍼시픽투어,관광사업자,여행업,20160429,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 906 - 5 701호,"제주특별자치도 제주시 도령로 54, 701호 (노형동,한신오피스텔)",,,2019-06-15 02:21:11
(주)동방국제여행사,관광사업자,여행업,20160429,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 292 - 93 309호,"제주특별자치도 제주시 연동13길 5, 309호 (연동,도호빌딩)",,,2019-06-15 02:21:11
(주)한유국제여행사,관광사업자,여행업,20160511,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 253 - 5 312호,"제주특별자치도 제주시 노연로 62, 312호 (연동,신성오피스텔)",,,2019-06-15 02:21:11
(주)에이투,관광사업자,여행업,20150724,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 1374,"제주특별자치도 제주시 연북로 92, 1층 (연동,진현빌딩)",,,2019-06-15 02:21:11
(주)제주모아투어,관광사업자,여행업,20150730,,영업/정상,,,,,0.0,제주특별자치도 제주시 오라삼동 2747 - 1,"제주특별자치도 제주시 연미2길 5, 3층 (오라삼동)",,,2019-06-15 02:21:11
(주)알지비글로벌투어,관광사업자,여행업,20150804,,영업/정상,,,,,0.0,제주특별자치도 제주시 이호이동 1163 - 9,제주특별자치도 제주시 오광로 109 (이호이동),,,2019-06-15 02:21:11
(주)제주메가투어,관광사업자,여행업,20150805,,영업/정상,,,,,0.0,제주특별자치도 제주시 해안동 855 - 6,제주특별자치도 제주시 노형로 120-1 (해안동),,,2019-06-15 02:21:11
제주중국인브이아이피서비스센터(주),관광사업자,여행업,20150811,,영업/정상,,,,,0.0,제주특별자치도 제주시 연동 290 - 41 202호,"제주특별자치도 제주시 연삼로 34, 202호 (연동,세준아파트)",,,2019-06-15 02:21:11
(주)이지타이거인터네셔널투어,관광사업자,여행업,20150813,,영업/정상,,,,,0.0,제주특별자치도 제주시 노형동 711 - 2 1104호,"제주특별자치도 제주시 연북로 12, 1104호 (노형동,이레하이텔)",,,2019-06-15 02:21:11
제주세인트하우스,관광사업자,관광숙박업,20140227,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 하예동 255,제주특별자치도 서귀포시 하예로 28 (하예동),,,2019-06-15 02:21:11
불란지호스텔,관광사업자,관광숙박업,20140311,,영업/정상,,,,,1417.32,제주특별자치도 서귀포시 대정읍 하모리 1502 - 1,제주특별자치도 서귀포시 대정읍 하모중앙로 46-6,,"일반음식점, 유흥주점",2019-06-15 02:21:11
이비사호텔,관광사업자,관광숙박업,20140319,,영업/정상,,,,,5963.13,제주특별자치도 제주시 노형동 928 - 1,제주특별자치도 제주시 노연로 24 (노형동),,"일반음식점,연회장",2019-06-15 02:21:11
씨앤힐스파팬션,관광사업자,관광숙박업,20140328,,영업/정상,,,,,0.0,제주특별자치도 제주시 애월읍 고내리 76 - 1,제주특별자치도 제주시 애월읍 애월해안로 412,,,2019-06-15 02:21:11
아모르하우스,관광사업자,관광숙박업,20140328,,영업/정상,,,,,0.0,제주특별자치도 제주시 구좌읍 종달리 1380,제주특별자치도 제주시 구좌읍 해맞이해안로 2060-18,,,2019-06-15 02:21:11
씨제이관광호텔,관광사업자,관광숙박업,20140403,,영업/정상,,,,,1340.52,제주특별자치도 제주시 이도이동 1776 - 14,제주특별자치도 제주시 광양8길 24 (이도이동),,,2019-06-15 02:21:11
신성리조트,관광사업자,관광숙박업,20140404,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 법환동 87 - 1,제주특별자치도 서귀포시 이어도로 989 (법환동),,,2019-06-15 02:21:11
관광호스텔 해밀,관광사업자,관광숙박업,20140404,,영업/정상,,,,,0.0,제주특별자치도 제주시 애월읍 유수암리 617 - 1,제주특별자치도 제주시 애월읍 광상로 272,,,2019-06-15 02:21:11
천지연 크리스탈호텔,관광사업자,관광숙박업,20160701,,영업/정상,,,,,2476.78,제주특별자치도 서귀포시 서귀동 650 - 1,제주특별자치도 서귀포시 천지연로 39 (서귀동),,"공동취사장,휴게음식점",2019-06-15 02:21:11
히든클리프호텔&네이쳐,관광사업자,관광숙박업,20160704,,영업/정상,,,,,23788.21,제주특별자치도 서귀포시 상예동 592 - 1,제주특별자치도 서귀포시 예래해안로 550 (상예동),,"레스토랑,휴게음식점,수영장,연회장 등",2019-06-15 02:21:11
T아일랜드호스텔,관광사업자,관광숙박업,20160706,,영업/정상,,,,,2139.34,제주특별자치도 서귀포시 법환동 1452,제주특별자치도 서귀포시 막숙포로 100 (법환동),,,2019-06-15 02:21:11
더퍼스트 호스텔,관광사업자,관광숙박업,20160708,,영업/정상,,,,,996.84,제주특별자치도 제주시 한림읍 한림리 1314 - 35,제주특별자치도 제주시 한림읍 한림로 695,,공동취사장 등,2019-06-15 02:21:11
샐리스제주 호텔,관광사업자,관광숙박업,20160714,,영업/정상,,,,,3353.44,제주특별자치도 제주시 애월읍 하가리 1256 - 2,제주특별자치도 제주시 애월읍 고내로 46,,"식당, 정보교류실  등",2019-06-15 02:21:11
아이웰 호텔,관광사업자,관광숙박업,20160714,,영업/정상,,,,,2269.57,제주특별자치도 제주시 연동 253 - 41,제주특별자치도 제주시 노연로 72 (연동),,식당 및 정뵤교류실 등,2019-06-15 02:21:11
칠십리호텔,관광사업자,관광숙박업,20160714,,영업/정상,,,,,1196.27,제주특별자치도 서귀포시 서귀동 432 - 3,제주특별자치도 서귀포시 태평로353번길 22-3 (서귀동),,,2019-06-15 02:21:11
호텔스위,관광사업자,관광숙박업,20160714,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 대정읍 하모리 557 - 1,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 35,,,2019-06-15 02:21:11
레인보우1 소형호텔,관광사업자,관광숙박업,20160728,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 대정읍 하모리 2129-,,,,2019-06-15 02:21:11
레인보우2 소형호텔,관광사업자,관광숙박업,20160728,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 대정읍 하모리 2129 - 2,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13,,,2019-06-15 02:21:11
레인보우 3 소형호텔,관광사업자,관광숙박업,20160728,,영업/정상,,,,,0.0,제주특별자치도 서귀포시 대정읍 하모리 2129 - 3,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15,,,2019-06-15 02:21:11
