년월,시도명,읍면동명,국적,외국인유동인구수
2019-05,서귀포시,성산읍,중국 외,75175.28
2019-05,서귀포시,송산동,중국,12098.18
2019-05,서귀포시,송산동,중국 외,13922.68
2019-05,제주시,아라동,중국,33742.66
2019-05,제주시,아라동,중국 외,12723.54
2019-05,서귀포시,안덕면,중국,237303.17
2019-05,서귀포시,안덕면,중국 외,64188.61
2019-05,제주시,애월읍,중국,395407.67
2019-05,제주시,애월읍,중국 외,72666.36
2019-05,제주시,연동,중국,1375886.53
2019-05,제주시,연동,중국 외,219199.55
2019-05,서귀포시,영천동,중국,49650.46
2019-05,서귀포시,영천동,중국 외,19746.62
2019-05,서귀포시,예래동,중국,189398.54
2019-05,서귀포시,예래동,중국 외,78244.79
2019-05,제주시,오라동,중국,53892.35
2019-05,제주시,오라동,중국 외,25255.27
2019-05,제주시,외도동,중국,23337.37
2019-05,제주시,외도동,중국 외,20331.49
2019-05,제주시,용담1동,중국,17296.63
2019-05,제주시,용담1동,중국 외,5578.81
2019-05,제주시,용담2동,중국,747715.96
2019-05,제주시,용담2동,중국 외,227298.44
2019-05,제주시,우도면,중국,77299.44
2019-05,제주시,우도면,중국 외,18686.95
2019-05,제주시,이도1동,중국,29221.89
2019-05,제주시,이도1동,중국 외,20621.18
2019-05,제주시,이도2동,중국,32431.9
2019-05,제주시,이도2동,중국 외,26131.32
2019-05,제주시,이호동,중국,35312.82
2019-05,제주시,이호동,중국 외,12590.18
2019-05,제주시,일도1동,중국,12123.269999999999
2019-05,제주시,일도1동,중국 외,8019.65
2019-05,제주시,일도2동,중국,47073.53
2019-05,제주시,일도2동,중국 외,8735.8
2019-05,서귀포시,정방동,중국,40806.91
2019-05,서귀포시,정방동,중국 외,26077.32
2019-05,제주시,조천읍,중국,128522.82
2019-05,제주시,조천읍,중국 외,46954.72
2019-05,서귀포시,중문동,중국,97825.61
2019-05,서귀포시,중문동,중국 외,33947.98
2019-05,서귀포시,중앙동,중국,14401.79
2019-05,서귀포시,중앙동,중국 외,7252.44
2019-05,서귀포시,천지동,중국,21722.58
2019-05,서귀포시,천지동,중국 외,14444.3
2019-05,제주시,추자면,중국,61684.49
2019-05,제주시,추자면,중국 외,6633.63
2019-05,서귀포시,표선면,중국,69431.99
2019-05,서귀포시,표선면,중국 외,37384.49
2019-05,제주시,한경면,중국,28895.6
2019-05,제주시,한경면,중국 외,12443.6
2019-05,제주시,한림읍,중국,92194.86
2019-05,제주시,한림읍,중국 외,27448.67
2019-05,제주시,화북동,중국,7008.47
2019-05,제주시,화북동,중국 외,11481.29
2019-05,서귀포시,효돈동,중국,5516.4
2019-05,서귀포시,효돈동,중국 외,2009.5
2019-06,제주시,건입동,중국,115044.61
2019-06,제주시,건입동,중국 외,47967.37
2019-06,제주시,구좌읍,중국,59218.17
2019-06,제주시,구좌읍,중국 외,21633.46
2019-06,서귀포시,남원읍,중국,117858.98999999999
2019-06,서귀포시,남원읍,중국 외,29531.38
2019-06,제주시,노형동,중국,373440.58999999997
2019-06,제주시,노형동,중국 외,54991.58
2019-06,서귀포시,대륜동,중국,59544.42
2019-06,서귀포시,대륜동,중국 외,27607.93
2019-06,서귀포시,대정읍,중국,26825.79
2019-06,서귀포시,대정읍,중국 외,5441.17
2019-06,서귀포시,대천동,중국,27291.84
2019-06,서귀포시,대천동,중국 외,11638.07
2019-06,제주시,도두동,중국,349372.2
2019-06,제주시,도두동,중국 외,34059.03
2019-06,서귀포시,동홍동,중국,44245.32
2019-06,서귀포시,동홍동,중국 외,12694.58
2019-06,제주시,봉개동,중국,40511.86
2019-06,제주시,봉개동,중국 외,8060.31
2019-06,제주시,삼도1동,중국,15713.310000000001
2019-06,제주시,삼도1동,중국 외,13533.84
2019-06,제주시,삼도2동,중국,107665.64
2019-06,제주시,삼도2동,중국 외,83789.98
2019-06,제주시,삼양동,중국,34181.45
2019-06,제주시,삼양동,중국 외,5536.45
2019-06,서귀포시,서홍동,중국,270564.78
2019-06,서귀포시,서홍동,중국 외,15960.54
2019-06,서귀포시,성산읍,중국,167572.52
2019-06,서귀포시,성산읍,중국 외,56711.08
2019-06,서귀포시,송산동,중국,10304.65
2019-06,서귀포시,송산동,중국 외,9203.97
2019-06,제주시,아라동,중국,31975.51
2019-06,제주시,아라동,중국 외,14909.47
2019-06,서귀포시,안덕면,중국,291184.51
2019-06,서귀포시,안덕면,중국 외,56122.52
2019-06,제주시,애월읍,중국,452082.29
2019-06,제주시,애월읍,중국 외,73588.1
2019-06,제주시,연동,중국,1212281.88
2019-06,제주시,연동,중국 외,223746.41
2019-06,서귀포시,영천동,중국,78967.91
2019-06,서귀포시,영천동,중국 외,8505.2
2019-06,서귀포시,예래동,중국,167290.31
2019-06,서귀포시,예래동,중국 외,103805.98
2019-06,제주시,오라동,중국,43471.2
2019-06,제주시,오라동,중국 외,15544.83
2019-06,제주시,외도동,중국,26755.88
2019-06,제주시,외도동,중국 외,5409.4800000000005
2019-06,제주시,용담1동,중국,14436.89
2019-06,제주시,용담1동,중국 외,6852.92
2019-06,제주시,용담2동,중국,735848.98
2019-06,제주시,용담2동,중국 외,223396.72999999998
2019-06,제주시,우도면,중국,59767.07
2019-06,제주시,우도면,중국 외,8814.92
2019-06,제주시,이도1동,중국,24011.43
2019-06,제주시,이도1동,중국 외,21339.74
2019-06,제주시,이도2동,중국,49863.7
2019-06,제주시,이도2동,중국 외,18493.12
2019-06,제주시,이호동,중국,46614.380000000005
2019-06,제주시,이호동,중국 외,7456.15
2019-06,제주시,일도1동,중국,10576.51
2019-06,제주시,일도1동,중국 외,6962.23
2019-06,제주시,일도2동,중국,40315.07
2019-06,제주시,일도2동,중국 외,3615.57
2019-06,서귀포시,정방동,중국,55531.270000000004
2019-06,서귀포시,정방동,중국 외,44024.25
2019-06,제주시,조천읍,중국,177159.99
2019-06,제주시,조천읍,중국 외,32850.27
2019-06,서귀포시,중문동,중국,147470.65
2019-06,서귀포시,중문동,중국 외,61669.27
2019-06,서귀포시,중앙동,중국,13854.33
2019-06,서귀포시,중앙동,중국 외,9253.08
2019-06,서귀포시,천지동,중국,23863.83
2019-06,서귀포시,천지동,중국 외,15157.05
2019-06,제주시,추자면,중국,57123.58
2019-06,제주시,추자면,중국 외,5531.78
2019-06,서귀포시,표선면,중국,68823.78
2019-06,서귀포시,표선면,중국 외,32387.53
2019-06,제주시,한경면,중국,32899.85
2019-06,제주시,한경면,중국 외,4792.87
2019-06,제주시,한림읍,중국,107127.1
2019-06,제주시,한림읍,중국 외,23957.07
2019-06,제주시,화북동,중국,5996.38
2019-06,제주시,화북동,중국 외,7811.42
2019-06,서귀포시,효돈동,중국,2348.32
2019-06,서귀포시,효돈동,중국 외,1511.01
2019-07,제주시,건입동,중국,144885.88
2019-07,제주시,건입동,중국 외,38075.79
2019-07,제주시,구좌읍,중국,61765.49
2019-07,제주시,구좌읍,중국 외,19957.329999999998
2019-07,서귀포시,남원읍,중국,119115.19
2019-07,서귀포시,남원읍,중국 외,28699.02
2019-07,제주시,노형동,중국,455048.29000000004
2019-07,제주시,노형동,중국 외,34881.89
2019-07,서귀포시,대륜동,중국,63571.36
2019-07,서귀포시,대륜동,중국 외,22907.510000000002
2019-07,서귀포시,대정읍,중국,28986.7
2019-07,서귀포시,대정읍,중국 외,7661.94
2019-07,서귀포시,대천동,중국,19699.32
2019-07,서귀포시,대천동,중국 외,6243.03
2019-07,제주시,도두동,중국,415627.09
2019-07,제주시,도두동,중국 외,24887.1
2019-07,서귀포시,동홍동,중국,66802.41
2019-07,서귀포시,동홍동,중국 외,10358.26
2019-07,제주시,봉개동,중국,42790.0
2019-07,제주시,봉개동,중국 외,10745.78
2019-07,제주시,삼도1동,중국,22757.55
2019-07,제주시,삼도1동,중국 외,18706.920000000002
2019-07,제주시,삼도2동,중국,138168.34
2019-07,제주시,삼도2동,중국 외,56749.979999999996
2019-07,제주시,삼양동,중국,36823.85
2019-07,제주시,삼양동,중국 외,2394.98
2019-07,서귀포시,서홍동,중국,232552.27000000002
2019-07,서귀포시,서홍동,중국 외,17101.67
2019-07,서귀포시,성산읍,중국,209829.81
2019-07,서귀포시,성산읍,중국 외,44427.52
2019-07,서귀포시,송산동,중국,13996.16
2019-07,서귀포시,송산동,중국 외,6741.82
2019-07,제주시,아라동,중국,38238.97
2019-07,제주시,아라동,중국 외,11434.26
2019-07,서귀포시,안덕면,중국,311582.57
2019-07,서귀포시,안덕면,중국 외,53791.8
2019-07,제주시,애월읍,중국,469810.86
2019-07,제주시,애월읍,중국 외,56113.9
2019-07,제주시,연동,중국,1499926.85
2019-07,제주시,연동,중국 외,170969.44999999998
2019-07,서귀포시,영천동,중국,45016.65
2019-07,서귀포시,영천동,중국 외,8529.21
2019-07,서귀포시,예래동,중국,232820.29
2019-07,서귀포시,예래동,중국 외,58738.0
